protocol,action_type,kick_time,kick_block_number,kick_hash,debt_auction_id,kick_lot,evt_index,dent_time,dent_block_number,dent_hash,dent_lot,deal_time,deal_block_number,deal_hash
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/19 14:39:11,9.702686e+06,3247d38d9f3feabb71717557f73917f4c7ec1afea28f620cc839fe637b4148a0,242,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/19 15:10:36,9.70284e+06,c511cdee7bfa5d3e4359ae069f5719a6ef5b2f4e10a9b6175ac37f72e3adb860,234.95145631067962,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/19 18:08:35,9.703619e+06,75b59b03d9b15ba3309cf4647bfe8e2303691a3e40be39537e908b1abaf544a6,222.22222222222223,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/19 18:27:24,9.703715e+06,f193da9384643916ad3c481c0e2dfa27c8fafcd2fee82fbfe5bfaa350749e558,215.7497303128371,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/19 23:35:35,9.705107e+06,14ddf02e2559c7b7cb49cd5d1da19a5eb1c412f20eacd891fb52cb911fffd9ab,209.46575758527874,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/19 23:57:27,9.705213e+06,64eabb68b5621d1b6a2d74e1037efa7644ee8d6f1e797839e72ad0ed8a13b5bd,203.36481318959102,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/20 05:25:23,9.706653e+06,ba32572091f60081d2d73003c75c9523296b3ce06dc2195f3437290bafdea49d,188.67924528301887,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/20 09:48:25,9.707846e+06,90fa55c8d1ccccad5a874503065d5f973125df5b3bfe2fbdd9d949b3abff0c4b,183.18373328448433,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/20 13:48:48,9.708903e+06,e789790ee0b31664806f58d521d7f565878ac3b1e9f087503aa83b1be707f6e9,177.8482847422178,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
maker,debt_auction,2020/03/19 14:38:03,9.702681e+06,80645491557ba5d55006f2f69b44d7b993a2db47fb2d4f1c6e6edfb13282d948,1,250,32,2020/03/20 14:55:58,9.709191e+06,aa4079356b6a00f72aa1a948e9b5aeae9a2d6feb5d0ef3d7e15b43086d7079e0,172.66743561231326,2020/03/20 21:00:04,9.710879e+06,017c5d6b43881d7c69e63f33258ff722514ee4edd717dd6bff948fad33a0a9e2
