protocol,action_type,kick_time,kick_block,kick_evt_hash,surplus_auction_id,lot_unit_of_dai,tend_time,tend_block_number,bid_call_hash,bid_price_unit_of_mkr,deal_time,deal_block_number,deal_hash
maker,surplus,02/02/2020 01:39:40,9.400123e+06,fa63eec82dc7d6fce009d9ac6effb8c331974ff9f8da81438712a4b2ff582f51,1,10000,02/02/2020 01:40:28,9.400129e+06,2b41f239238e627076c15c88466f9ba10e141512e7a2de0e1eb96c5d8d0247ed,18.215596523845015,02/02/2020 02:10:45,9.400273e+06,3e12197892310b9b50fc6ea89b66009e5d7e1a9c74afcd0c1821cb021a44d8f4
maker,surplus,02/02/2020 01:39:40,9.400123e+06,fa63eec82dc7d6fce009d9ac6effb8c331974ff9f8da81438712a4b2ff582f51,1,10000,02/02/2020 01:40:16,9.400127e+06,7434152f7c182a62627243b9c4120e9d8f55780bf70d6843065d7177217ae584,17.680024810528646,02/02/2020 02:10:45,9.400273e+06,3e12197892310b9b50fc6ea89b66009e5d7e1a9c74afcd0c1821cb021a44d8f4
maker,surplus,02/02/2020 01:39:40,9.400123e+06,fa63eec82dc7d6fce009d9ac6effb8c331974ff9f8da81438712a4b2ff582f51,1,10000,02/02/2020 01:39:40,9.400123e+06,fa63eec82dc7d6fce009d9ac6effb8c331974ff9f8da81438712a4b2ff582f51,14.505298491598943,02/02/2020 02:10:45,9.400273e+06,3e12197892310b9b50fc6ea89b66009e5d7e1a9c74afcd0c1821cb021a44d8f4
maker,surplus,02/02/2020 21:16:14,9.405478e+06,4e9c2ba33f09dbad5936e0a9cd4b5a3d802061bb7023d23c429e09af65865f82,2,10000,02/02/2020 21:16:32,9.405481e+06,d0d53a88aaa0742843875c9007b22db22fb19a1956d9db52d5c659cf138b216d,17.507102387377945,02/02/2020 21:46:52,9.40561e+06,949b92492b5ea8886b4dec89dbb33e62262bd57c2033dc9c07862ba77f2b3d4f
maker,surplus,02/03/2020 17:09:21,9.410881e+06,ead7e9ef46f9b8421b3a711013dda51b57cf4bd1c048acf0bdce83ff8d92783c,3,10000,02/03/2020 17:09:21,9.410881e+06,ead7e9ef46f9b8421b3a711013dda51b57cf4bd1c048acf0bdce83ff8d92783c,17.76048701270401,02/03/2020 17:39:34,9.410987e+06,fa4d2ab0a82d24c71095c7c449dbd19792f32b49bdfaf560faa1518182fc79bd
maker,surplus,02/04/2020 12:38:13,9.416127e+06,45a04205be731151018b00a02e48ccc9fbe8aa7cf04165dbec04328a80722c97,4,10000,02/04/2020 12:38:13,9.416127e+06,45a04205be731151018b00a02e48ccc9fbe8aa7cf04165dbec04328a80722c97,17.764182009409062,02/04/2020 13:08:31,9.41627e+06,486e228836e0ee6fa781daf2e61722298eb40cb0c257a9ef2cd9f20f4e549c6e
maker,surplus,02/05/2020 06:51:43,9.421079e+06,9826cae7dad89d32e4741fc0a9386c7d99f6be0d5f6b61ad08fa014dfc6b8b37,5,10000,02/05/2020 06:51:43,9.421079e+06,9826cae7dad89d32e4741fc0a9386c7d99f6be0d5f6b61ad08fa014dfc6b8b37,17.549481538345354,02/05/2020 07:22:16,9.421238e+06,8f453a6d4d1d30ccc8bf95dfb2f32d2a5dccb0bc6aae1827bbf76fb8d2991047
maker,surplus,02/06/2020 01:00:02,9.425998e+06,69fe2a3d49a96369d8976baeddd6a4e39218b33da7f966bd158ccfd3bd42411a,6,10000,02/06/2020 01:00:02,9.425998e+06,69fe2a3d49a96369d8976baeddd6a4e39218b33da7f966bd158ccfd3bd42411a,17.119431111286993,02/06/2020 01:30:04,9.42615e+06,2d38d5bebf917332bd0a559069cbd487e1d891572708d1c0200bbc94f6f0c0ff
maker,surplus,02/06/2020 19:04:37,9.430877e+06,657cf7d0d08fb4a4b6cbecfba6b7d9ccf90e89ef42692f28af44b8b5ce91a1e4,7,10000,02/06/2020 19:04:37,9.430877e+06,657cf7d0d08fb4a4b6cbecfba6b7d9ccf90e89ef42692f28af44b8b5ce91a1e4,17.05730578801767,02/06/2020 19:35:06,9.431035e+06,ac3218498b0d8e98d6f5c28105c1bd597fa1295c348d3463d33571832e9dad68
maker,surplus,02/07/2020 10:01:23,9.4349e+06,ca0d262ad95d0557e3da2b8253ea2ad95b2ebedb0bfc7bb0eaebaa7f7ed3771a,8,10000,02/07/2020 10:01:26,9.434901e+06,616430a12fc11a0a15a8c3eb7250f1201f540ab041db93ce2f74b3e22c11fa62,17.291429798642877,02/07/2020 10:32:08,9.435048e+06,330ea897496cc488fff4a0f91e30670e2ec2665c29897c307bacd222bf563fae
